	0
0	0
1	0
2	0
3	0
4	0
5	15
6	0
7	12
8	24
9	18
10	15
11	45
12	6
13	108
14	0
15	51
16	66
17	159
18	48
19	243
20	990
21	291
22	594
23	1611
24	3246
25	1587
26	1743
27	2811
28	3036
29	10671
30	4968
31	27801
32	8961
33	40680
34	17841
35	106485
36	17589
37	15426
38	26367
39	65766
40	32955
41	88278
42	126
43	179091
44	11205
45	32193
46	630
47	38226
48	26442
49	1794
50	30261
51	45117
52	678
53	111
54	7647
55	1149
56	3867
57	183
58	2910
59	5433
60	11835
61	5763
62	3879
63	276
64	501
65	609
66	732
67	945
68	195
69	1551
70	75
71	159
72	3
73	135
74	99
75	48
76	90
77	39
78	0
79	12
80	39
81	6
82	0
83	0
84	0
85	0
86	0
87	0
88	6
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
