	0
0	0
1	0
2	0
3	0
4	0
5	27
6	0
7	0
8	0
9	3
10	39
11	3
12	33
13	12
14	81
15	42
16	348
17	48
18	366
19	681
20	882
21	597
22	1056
23	291
24	1281
25	492
26	1047
27	7461
28	1350
29	19011
30	21474
31	30681
32	10914
33	12549
34	16902
35	181515
36	18084
37	51702
38	31737
39	148449
40	18645
41	444
42	68460
43	36054
44	9801
45	111600
46	12870
47	124950
48	510
49	56997
50	65313
51	3690
52	61470
53	1209
54	29886
55	1179
56	12111
57	81
58	49185
59	300
60	4875
61	4983
62	162
63	1383
64	6543
65	1182
66	1830
67	4797
68	363
69	1362
70	255
71	0
72	321
73	1068
74	48
75	321
76	0
77	417
78	18
79	15
80	15
81	0
82	36
83	18
84	36
85	12
86	0
87	27
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
