	0
0	0
1	0
2	0
3	0
4	0
5	18
6	0
7	45
8	15
9	69
10	0
11	72
12	60
13	303
14	189
15	135
16	321
17	570
18	1434
19	576
20	1410
21	3867
22	1062
23	3174
24	6921
25	2751
26	4737
27	2973
28	7509
29	63405
30	17244
31	26142
32	4437
33	41364
34	72873
35	170805
36	29046
37	186993
38	26970
39	441
40	111750
41	55119
42	26115
43	47907
44	16995
45	66432
46	762
47	71406
48	2091
49	33258
50	3666
51	13338
52	24
53	150
54	9564
55	0
56	12804
57	1011
58	1230
59	276
60	291
61	402
62	4941
63	645
64	0
65	54
66	1002
67	15
68	9
69	342
70	0
71	102
72	0
73	228
74	333
75	117
76	9
77	42
78	0
79	135
80	0
81	6
82	3
83	63
84	99
85	3
86	0
87	15
88	0
89	0
90	0
91	0
92	0
93	12
94	0
95	0
96	0
97	0
98	12
99	0
100	0
101	0
102	9
103	0
104	0
105	3
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
