	0
0	0
1	0
2	0
3	0
4	0
5	18
6	0
7	33
8	27
9	6
10	3
11	45
12	3
13	21
14	90
15	123
16	66
17	297
18	468
19	204
20	462
21	1065
22	1440
23	2883
24	2367
25	3465
26	4620
27	2070
28	13971
29	28884
30	10755
31	17511
32	4728
33	12888
34	32355
35	106260
36	49359
37	15306
38	44364
39	198363
40	29442
41	6957
42	95130
43	2628
44	4260
45	11682
46	25356
47	37221
48	5697
49	49254
50	32250
51	25488
52	40881
53	16803
54	2097
55	23481
56	5988
57	4935
58	0
59	2991
60	4869
61	624
62	216
63	642
64	168
65	114
66	6
67	774
68	498
69	96
70	27
71	414
72	21
73	45
74	111
75	177
76	0
77	48
78	48
79	9
80	6
81	30
82	0
83	6
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
