	0
0	0
1	0
2	0
3	0
4	0
5	18
6	0
7	9
8	3
9	12
10	24
11	12
12	99
13	6
14	192
15	111
16	39
17	546
18	1341
19	120
20	549
21	2010
22	918
23	5088
24	2754
25	9105
26	2835
27	14268
28	29757
29	9153
30	26505
31	78264
32	7899
33	38979
34	5649
35	27933
36	4578
37	150039
38	1938
39	208452
40	405
41	98991
42	137505
43	32643
44	62568
45	22725
46	74889
47	126
48	20994
49	40317
50	3171
51	35235
52	234
53	3912
54	375
55	10461
56	225
57	8739
58	24
59	1068
60	180
61	1803
62	2907
63	1110
64	12
65	741
66	39
67	324
68	12
69	492
70	9
71	3
72	324
73	0
74	3
75	39
76	147
77	0
78	3
79	48
80	0
81	30
82	18
83	96
84	0
85	30
86	30
87	15
88	6
89	0
90	6
91	0
92	3
93	0
94	3
95	0
96	0
97	0
98	0
99	3
100	0
101	3
102	0
103	0
104	3
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
