	0
0	0
1	0
2	0
3	0
4	0
5	18
6	0
7	39
8	18
9	36
10	21
11	12
12	51
13	192
14	252
15	339
16	333
17	849
18	936
19	2283
20	510
21	558
22	105
23	195
24	3162
25	7935
26	3018
27	22092
28	25230
29	59253
30	63870
31	32190
32	36351
33	31176
34	19293
35	24180
36	5538
37	13872
38	18906
39	1647
40	5316
41	7794
42	39231
43	4434
44	26091
45	20400
46	948
47	135
48	1167
49	3066
50	135
51	3522
52	711
53	2721
54	0
55	1104
56	1749
57	813
58	24
59	1134
60	1443
61	33
62	0
63	0
64	156
65	12
66	174
67	114
68	105
69	0
70	0
71	210
72	0
73	0
74	3
75	102
76	0
77	12
78	0
79	42
80	21
81	0
82	0
83	0
84	15
85	0
86	6
87	21
88	0
89	27
90	0
91	21
92	6
93	0
94	3
95	0
96	0
97	0
98	0
99	3
100	0
101	0
102	3
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
