	0
0	0
1	0
2	0
3	0
4	0
5	12
6	0
7	36
8	33
9	144
10	27
11	24
12	228
13	180
14	156
15	150
16	252
17	285
18	885
19	2094
20	2271
21	966
22	744
23	402
24	7476
25	3951
26	9990
27	10905
28	32535
29	35250
30	22377
31	38799
32	17316
33	14130
34	17802
35	129972
36	30993
37	3543
38	2145
39	39087
40	13620
41	47772
42	48849
43	30639
44	8757
45	339
46	22038
47	31089
48	4497
49	7461
50	3321
51	39
52	4518
53	12300
54	1524
55	30
56	9651
57	3
58	2016
59	24
60	657
61	501
62	477
63	0
64	147
65	261
66	0
67	0
68	45
69	36
70	534
71	0
72	18
73	42
74	6
75	54
76	3
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
