	0
0	0
1	0
2	0
3	0
4	0
5	21
6	0
7	0
8	9
9	0
10	36
11	0
12	24
13	3
14	24
15	66
16	66
17	45
18	90
19	84
20	12
21	84
22	141
23	774
24	1371
25	1617
26	531
27	3231
28	2265
29	2451
30	1797
31	1233
32	780
33	13152
34	11013
35	4959
36	80013
37	6714
38	72969
39	16623
40	214569
41	7629
42	118494
43	5751
44	122298
45	52152
46	294
47	41388
48	32322
49	20928
50	1377
51	13191
52	10275
53	11157
54	0
55	4548
56	10725
57	849
58	18633
59	204
60	21
61	195
62	2775
63	588
64	78
65	1119
66	18
67	129
68	576
69	222
70	1098
71	48
72	744
73	18
74	126
75	252
76	534
77	120
78	120
79	459
80	174
81	42
82	24
83	78
84	30
85	141
86	0
87	105
88	0
89	0
90	3
91	0
92	0
93	0
94	12
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
