	0
0	0
1	0
2	0
3	0
4	0
5	15
6	0
7	9
8	21
9	0
10	0
11	42
12	0
13	54
14	24
15	48
16	0
17	12
18	60
19	21
20	84
21	27
22	93
23	408
24	192
25	795
26	537
27	3582
28	2457
29	1356
30	2853
31	3942
32	4005
33	2805
34	9885
35	3213
36	24105
37	43149
38	47451
39	64230
40	68163
41	16116
42	190437
43	2010
44	8247
45	87291
46	2385
47	93141
48	0
49	236157
50	66
51	83163
52	59442
53	38895
54	3273
55	9003
56	2745
57	6834
58	32157
59	2229
60	3
61	1332
62	285
63	27
64	426
65	219
66	327
67	735
68	42
69	459
70	12
71	354
72	6
73	246
74	3
75	174
76	12
77	33
78	6
79	48
80	3
81	9
82	6
83	3
84	0
85	3
86	0
87	3
88	0
89	6
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
